,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
0,243.83691,-3.37,130.049,0.687,4,0.931,7,0.064,1,0.294
1,223.34666,-5.408,143.95,0.529,4,0.904,8,0.568,0,0.645
2,220.29333,-4.183,123.146,0.414,4,0.862,6,0.639,1,0.633
3,326.93332,-11.174,160.143,0.25,4,0.973,1,0.244,1,0.371
4,211.46667,-7.398,85.043,0.094,4,0.384,10,0.186,1,0.349
5,188.25333,-4.603,125.976,0.299,4,1.0,10,0.182,1,0.371
6,230.45332,-7.015,186.003,0.338,4,1.0,7,0.608,1,0.605
7,244.96,-5.599,95.01,0.314,4,1.0,8,0.643,1,0.618
8,307.1512,-9.362,89.815,0.063,4,1.0,5,0.315,0,0.447
9,179.61333,-8.185,81.967,0.353,4,0.76,5,0.751,1,0.598
10,256.53333,-7.678,130.098,0.424,4,0.922,7,0.638,1,0.638
11,198.94421,-7.817,136.173,0.357,4,1.0,5,0.001,0,0.277
12,206.69333,-4.961,134.066,0.708,4,0.982,1,0.372,1,0.449
13,160.09746,-6.519,76.023,0.368,4,0.286,5,0.486,1,0.53
14,249.19107,-9.579,116.362,0.422,4,0.927,9,0.268,0,0.373
15,161.9853,-4.29,82.944,0.036,4,1.0,10,0.931,1,0.66
16,177.18417,-10.028,108.034,0.582,4,0.984,6,0.3,1,0.442
17,205.2,-4.308,116.0,0.902,4,1.0,9,0.421,1,0.434
18,172.25333,-3.564,95.999,0.206,4,1.0,2,0.228,1,0.405
19,237.54668,-5.72,113.035,0.891,4,1.0,0,0.092,1,0.376
20,191.6,-8.091,110.898,0.446,4,0.994,5,0.0,0,0.089
21,251.03374,-13.4,92.6,0.17,4,1.0,6,0.769,0,0.69
22,257.26666,-12.696,80.111,0.118,4,0.987,0,0.453,1,0.475
23,202.34666,-4.474,108.008,0.675,4,1.0,7,0.611,1,0.672
24,195.92,-9.348,90.024,0.681,4,1.0,4,0.67,0,0.628
25,347.52,-5.724,101.045,0.529,4,0.943,0,0.738,1,0.696
26,184.51646,-7.45,159.738,0.183,3,1.0,9,0.413,1,0.378
27,217.6034,-4.188,90.246,0.26,4,1.0,0,0.318,1,0.58
28,253.10677,-6.745,75.016,0.06,4,1.0,7,0.558,1,0.594
