name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Play Date,4DpNNXFMMxQEKl7r0ykkWA,90,2015-08-14,hit,179.86703,-5.077,123.97,0.294,4,0.9940000000000001,5,0.562,1,0.5660000000000001,0.612,0.68,0.7290000000000001,0.0,0.22399999999999998,0.0475,0.446
The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,85,2015-07-17,hit,216.32,-4.083,116.87899999999999,0.976,4,0.988,4,0.0,1,0.217,0.0115,0.64,0.74,0.00678,0.16699999999999998,0.0284,0.785
Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,82,2015-01-11,hit,196.52,-5.279,101.00299999999999,0.132,4,1.0,3,0.445,0,0.515,0.0371,0.764,0.705,1.9399999999999997e-05,0.0943,0.0278,0.672
Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,78,2015-05-04,hit,293.29332999999997,-10.888,48.718,0.015,4,1.0,9,0.387,1,0.498,0.205,0.392,0.37,0.0096,0.0821,0.0298,0.512
Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,76,2015-01-01,hit,227.42667000000003,-9.245,166.05200000000002,0.187,4,1.0,2,0.35600000000000004,1,0.597,0.418,0.595,0.389,1.39e-06,0.11599999999999999,0.0349,0.4
Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,78,2015-10-16,hit,218.10667,-7.627000000000001,120.041,0.488,4,1.0,6,0.0,0,0.22399999999999998,0.00543,0.611,0.797,0.00137,0.26,0.0533,0.518
The Hills,7fBv7CLKzipRk6EC6TWHOB,83,2015-08-28,hit,242.25332999999998,-7.063,113.00299999999999,0.213,4,1.0,0,0.8029999999999999,0,0.8909999999999999,0.0671,0.585,0.564,0.0,0.135,0.0515,0.13699999999999998
Don't,3pXF1nA74528Edde4of9CC,78,2015-10-02,hit,198.29333,-5.556,97.001,0.098,4,1.0,11,0.414,0,0.45,0.222,0.765,0.35600000000000004,0.0,0.0963,0.196,0.19
Exchange,43PuMrRfbyyuz4QpZ3oAwN,78,2015-10-02,hit,194.61333,-10.597999999999999,160.14,0.316,4,0.35700000000000004,6,0.032,1,0.506,0.10800000000000001,0.53,0.433,0.0,0.135,0.185,0.27399999999999997
The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,75,2015-04-07,hit,208.21198,-9.51,86.99700000000001,0.011000000000000001,3,0.125,2,0.667,1,0.71,0.9690000000000001,0.545,0.366,0.267,0.6409999999999999,0.0378,0.1
Come Get Her,1Ser4X0TKttOvo8bgdytTP,78,2015-01-06,hit,212.94667,-6.226,185.023,0.33,4,0.8109999999999999,2,0.29100000000000004,1,0.33299999999999996,0.187,0.6890000000000001,0.564,0.0,0.0721,0.136,0.12300000000000001
Idfc,6y6jbcPG4Yn3Du4moXaenr,80,2015-02-14,hit,245.17242000000002,-8.755,144.871,0.282,4,0.847,1,0.6940000000000001,0,0.742,0.611,0.63,0.5,4.04e-05,0.114,0.0611,0.315
Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,83,2015-05-15,hit,202.33333000000002,-5.6770000000000005,169.977,0.207,4,1.0,4,0.0,0,0.040999999999999995,0.0462,0.7340000000000001,0.637,2.2899999999999998e-05,0.0602,0.141,0.648
Drama (feat. Drake),0PXp9QxBfSKGGpWUNaws2X,77,2015-07-31,hit,251.85962999999998,-9.814,122.04299999999999,0.284,4,1.0,11,0.355,1,0.5329999999999999,0.157,0.7090000000000001,0.36200000000000004,0.0,0.109,0.055,0.113
Brown Noise - Loopable with No Fade,67iF3DdebmElASIGoebYt1,74,2015-05-26,hit,73.88676,-15.776,0.0,0.0,0,0.0,5,0.474,1,0.509,0.0,0.0,2.01e-05,0.0,0.0,0.0,0.0
Antidote,1wHZx0LgzFHyeIZkUydNXq,78,2015-09-04,hit,262.69333,-5.046,131.05,0.789,4,1.0,1,0.19899999999999998,1,0.45799999999999996,0.007670000000000001,0.713,0.526,0.000148,0.124,0.032,0.131
oui,0PJIbOdMs3bd5AT8liULMQ,75,2015-12-04,hit,238.32,-3.7239999999999998,78.521,0.031,5,1.0,5,0.62,1,0.461,0.213,0.418,0.7240000000000001,0.0,0.11199999999999999,0.0964,0.604
Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,75,2015-09-18,hit,208.08,-8.442,120.05799999999999,0.16899999999999998,4,0.995,8,0.225,1,0.374,0.47,0.843,0.435,0.0,0.147,0.17800000000000002,0.19
Ride,2Z8WuEywRWYTKe1NybPQEW,81,2015-05-15,hit,214.50667,-5.355,74.98899999999999,0.033,4,0.98,6,0.306,1,0.509,0.00835,0.645,0.713,0.0,0.113,0.0393,0.5660000000000001
Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,73,2015-11-13,hit,230.22667,-5.74,97.085,0.001,4,1.0,0,0.322,1,0.41100000000000003,0.0285,0.573,0.7390000000000001,0.0,0.111,0.129,0.451
