name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
No Role Modelz,62vpWI1CHwFy7tMIcSStl8,81,2014-12-09,hit,292.98666000000003,-8.465,100.0,0.22899999999999998,4,0.836,10,0.243,0,0.35700000000000004,0.302,0.696,0.521,0.0,0.0565,0.332,0.45799999999999996
Riptide,3JvrhDOgAt6p7K8mDyZwRd,78,2014-09-09,hit,204.28,-6.694,101.654,0.7,4,1.0,1,0.22699999999999998,1,0.237,0.431,0.484,0.731,0.0,0.151,0.0379,0.51
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,79,2014-06-10,hit,242.9834,-8.712,121.97,0.382,4,1.0,1,0.36200000000000004,0,0.376,0.22,0.805,0.33,0.0,0.105,0.1,0.21100000000000002
Wet Dreamz,6Ius4TC0L3cN74HT7ENE6e,78,2014-12-09,hit,239.32,-8.205,175.483,0.322,4,0.995,6,0.33299999999999996,0,0.31,0.0752,0.504,0.705,0.0,0.128,0.364,0.584
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,82,2014-05-26,hit,172.72385,-6.444,84.094,0.299,4,0.9590000000000001,0,0.541,1,0.5589999999999999,0.588,0.418,0.42,6.39e-05,0.11,0.0414,0.184
House Party,1TwLKNsCnhi1HxbIi4bAW0,74,2014-10-27,hit,190.24,-5.251,103.96600000000001,0.725,4,1.0,8,0.507,1,0.539,0.113,0.747,0.861,0.0,0.026000000000000002,0.0514,0.8590000000000001
Let It Go,13HVjjWUZFaWilh2QUJKsP,73,2014-12-15,hit,260.53333,-10.395999999999999,147.464,0.19699999999999998,4,0.529,1,0.595,1,0.65,0.818,0.546,0.311,1.65e-05,0.107,0.0288,0.24600000000000002
Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,73,2014-01-01,hit,257.84,-4.9719999999999995,122.01700000000001,0.541,4,0.909,1,0.626,0,0.6809999999999999,0.0654,0.664,0.705,0.0,0.115,0.0382,0.47700000000000004
Left Hand Free,4iEOVEULZRvmzYSZY2ViKN,73,2014-09-22,hit,173.63083999999998,-4.465,101.99,0.532,4,1.0,3,0.532,1,0.612,0.462,0.6970000000000001,0.877,0.00943,0.083,0.0462,0.802
Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,73,2014-06-20,hit,313.68422999999996,-8.812999999999999,114.016,0.726,4,1.0,11,0.48700000000000004,1,0.45299999999999996,0.42700000000000005,0.885,0.581,0.000204,0.0759,0.0378,0.728
Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,73,2014-09-19,hit,241.69332999999997,-5.303,128.945,0.11800000000000001,4,0.308,4,0.0,0,0.21600000000000003,0.634,0.5660000000000001,0.664,0.0,0.11599999999999999,0.0464,0.43700000000000006
Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,79,2014-12-02,hit,199.08,-3.804,128.03799999999998,0.924,4,0.892,1,0.674,1,0.545,0.00701,0.578,0.866,0.0,0.257,0.0619,0.619
Little Do You Know,1almCHdsfikRPfVB9VrEdT,79,2014-10-06,hit,185.2,-8.554,145.879,0.136,4,0.7809999999999999,0,0.725,1,0.805,0.746,0.5,0.292,0.0,0.188,0.0323,0.37
Sugar,2iuZJX9X9P0GKaE93xcPjk,80,2014-09-02,hit,235.49333,-7.055,120.07600000000001,0.797,4,1.0,1,0.45,1,0.605,0.0591,0.748,0.7879999999999999,0.0,0.0863,0.0334,0.884
I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,82,2014-05-26,hit,239.3167,-5.795,82.001,0.657,4,0.932,5,0.491,1,0.524,0.529,0.677,0.485,2.0399999999999998e-05,0.0766,0.0361,0.493
Jealous,4L2K7JKseFCBoHMZEAszW0,79,2014-11-21,hit,287.69333,-8.948,128.532,0.06,3,0.536,1,0.11199999999999999,1,0.3,0.873,0.435,0.155,0.0,0.107,0.046,0.0935
American Kids,1dgWTMoHwTUnQhOQ8SR5fV,71,2014-09-22,hit,182.96,-7.37,170.097,0.023,4,0.971,7,0.209,1,0.44,0.0476,0.733,0.589,5.85e-06,0.0366,0.1,0.867
Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,77,2014-01-01,hit,194.24,-2.392,100.012,0.738,4,1.0,2,0.513,1,0.512,0.0591,0.6729999999999999,0.902,0.000262,0.0558,0.0346,0.5379999999999999
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,82,2014-06-21,hit,281.56,-6.061,78.998,0.048,4,0.98,2,0.446,1,0.594,0.474,0.7809999999999999,0.445,0.0,0.184,0.0295,0.591
18,3JjnGLK8IxkNLvo8Lb3KOM,79,2014-11-17,hit,248.36,-7.76,124.038,0.857,4,1.0,6,0.171,0,0.47,0.22,0.6809999999999999,0.5820000000000001,0.0,0.11900000000000001,0.0313,0.221
I Like The Sound Of That,5S5rw0WLVCAux5B5bWCehK,70,2014-01-01,hit,209.28,-5.61,89.97399999999999,0.5479999999999999,4,0.787,0,0.69,1,0.669,0.257,0.611,0.8,0.0,0.19399999999999998,0.0377,0.527
G.O.M.D.,16qYlQ6koFxYVbiJbGHblz,73,2014-12-09,hit,301.13333,-10.821,128.065,0.604,4,1.0,4,0.35200000000000004,0,0.364,0.331,0.889,0.39299999999999996,8.67e-06,0.28300000000000003,0.267,0.304
Blank Space,1p80LdxRV74UKvL8gnD7ky,70,2014-10-27,hit,231.82667999999998,-5.421,96.009,0.23800000000000002,4,0.995,5,0.348,1,0.24100000000000002,0.085,0.752,0.6779999999999999,1.64e-06,0.13,0.0646,0.583
Chamber Of Reflection,1MJ5f5EYBC92ADD6xcz7nb,74,2014-04-01,hit,231.72372000000001,-8.677999999999999,131.037,0.6940000000000001,4,1.0,11,0.53,1,0.51,0.263,0.537,0.5579999999999999,0.91,0.102,0.0929,0.505
Summer,6YUTL4dYpB9xZO5qExPf05,80,2014-10-31,hit,222.53332999999998,-3.556,127.949,0.956,4,0.396,4,0.302,0,0.409,0.0211,0.596,0.856,0.0178,0.141,0.0346,0.743
Sober,5NhlpQ6BOIz3S5welptk1W,72,2014-10-03,hit,252.02649,-7.621,98.094,0.5379999999999999,4,0.833,0,0.4,1,0.442,0.124,0.7070000000000001,0.562,1.58e-05,0.561,0.0305,0.418
One Last Time,7xoUc6faLbCqZO6fQEYprd,79,2014-08-25,hit,197.26666,-5.0360000000000005,125.02600000000001,0.72,4,1.0,8,0.474,1,0.513,0.09300000000000001,0.628,0.593,1.65e-06,0.096,0.0323,0.10400000000000001
Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,83,2014-06-21,hit,258.98666000000003,-10.48,107.98899999999999,0.36,4,1.0,4,0.341,1,0.423,0.607,0.614,0.379,0.00046399999999999995,0.0986,0.0476,0.201
Time of Our Lives,2bJvI42r8EF3wxjOuDav4r,77,2014-11-21,hit,229.36,-5.797000000000001,124.04299999999999,0.69,4,1.0,1,0.0,1,0.095,0.0921,0.72,0.802,0.0,0.6940000000000001,0.0582,0.723
Say Something,6Vc5wAMmXdKIAM7WUoEb7N,77,2014-01-20,hit,229.4,-8.822000000000001,141.284,0.057,3,1.0,2,0.7090000000000001,1,0.78,0.857,0.40700000000000003,0.147,2.89e-06,0.0913,0.0355,0.0765
Break Up In A Small Town,7aftSOGSOpSoIlVAQVBb71,70,2014-10-27,hit,229.88,-5.365,136.04399999999998,0.409,4,1.0,8,0.409,1,0.62,0.0749,0.579,0.7759999999999999,0.0,0.239,0.17300000000000001,0.434
"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,80,2014-03-03,hit,232.72,-4.662,160.019,0.22899999999999998,4,1.0,5,0.55,0,0.491,0.21899999999999997,0.647,0.8220000000000001,0.0,0.0908,0.183,0.9620000000000001
Chinese New Year,0SIAFU49FFHwR3QnT5Jx0k,75,2014-06-06,hit,160.0,-7.422000000000001,75.221,0.027000000000000003,4,1.0,4,0.34,0,0.36700000000000005,0.759,0.7440000000000001,0.845,0.23199999999999998,0.1,0.253,0.7490000000000001
The Nights,0ct6r3EGTcMLPtrXHDvVjc,81,2014-01-01,hit,176.65846000000002,-5.297999999999999,125.98299999999999,0.735,4,0.67,6,0.583,1,0.619,0.0166,0.527,0.835,0.0,0.249,0.0433,0.654
Drunk On A Plane,1soxUgYIZb1qx1c7o1Lc7z,69,2014-01-01,miss,254.46667000000002,-5.566,205.972,0.156,4,0.973,9,0.503,1,0.5379999999999999,0.00495,0.423,0.73,1.13e-05,0.23800000000000002,0.032,0.66
Bang Bang,0puf9yIluy9W0vpMEUoAnN,78,2014-10-14,hit,199.38667,-3.417,150.035,0.35200000000000004,4,0.49200000000000005,0,0.544,0,0.39899999999999997,0.26,0.706,0.7859999999999999,0.0,0.38,0.0909,0.7490000000000001
Shake It Off,5xTtaWoae3wi06K5WfVUUH,69,2014-10-27,miss,219.2,-5.414,160.02,0.20800000000000002,4,0.9740000000000001,7,0.831,1,0.794,0.0561,0.648,0.785,0.0,0.14800000000000002,0.165,0.943
I Don't Dance,5aj0xPGiEUN3aI2oOYu14S,70,2014-09-09,hit,221.17332000000002,-7.742000000000001,92.036,0.25,4,0.991,1,0.691,1,0.703,0.39899999999999997,0.5870000000000001,0.5589999999999999,6.69e-06,0.0992,0.0321,0.19
I Mean It (feat. Remo),6jmTHeoWvBaSrwWttr8Xvu,73,2014-06-20,hit,236.48,-6.007999999999999,140.0,0.428,4,1.0,10,0.262,1,0.161,0.125,0.7120000000000001,0.562,0.0,0.136,0.129,0.142
She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,69,2014-06-27,miss,202.49605,-4.237,160.025,0.40399999999999997,4,1.0,9,0.08199999999999999,1,0.326,0.0005690000000000001,0.494,0.951,0.0,0.327,0.132,0.441
Latch,1DunhgeZSEgWiIYbHqXl0c,69,2014-01-01,miss,255.86667000000003,-5.455,121.986,0.134,4,1.0,1,0.32799999999999996,1,0.41200000000000003,0.0178,0.7290000000000001,0.735,0.000193,0.08900000000000001,0.0919,0.544
Me And My Broken Heart,1oew3nFNY3vMacJAsvry0S,76,2014-01-01,hit,193.73334,-4.261,174.084,0.19,4,1.0,5,0.588,0,0.514,0.00489,0.545,0.7829999999999999,0.0,0.132,0.0345,0.551
Night Changes,5O2P9iiztwhomNh8xkR9lJ,77,2014-11-17,hit,226.6,-7.747000000000001,120.001,0.49,4,1.0,8,0.629,1,0.708,0.8590000000000001,0.672,0.52,0.0,0.115,0.0353,0.37
Girl Crush,11qh54D0PKkBwelpDxxiEU,69,2014-10-21,miss,193.32,-10.22,173.78799999999998,0.157,3,1.0,0,0.657,1,0.679,0.8420000000000001,0.5,0.225,0.0,0.11199999999999999,0.0302,0.355
I Lived,7D49Iig0avHre9RFSUMkd2,68,2014-01-01,miss,234.54667999999998,-5.428999999999999,119.986,0.738,4,1.0,9,0.32799999999999996,1,0.451,0.0746,0.599,0.8540000000000001,0.0,0.278,0.0436,0.311
Doses & Mimosas,44CZRkOxv7UItaAUmh8PgN,68,2014,miss,323.25333,-7.332999999999999,114.50299999999999,0.8140000000000001,4,1.0,5,0.377,1,0.48700000000000004,0.114,0.775,0.655,0.00016,0.035,0.102,0.34600000000000003
"Honey, I'm Good.",4MflGTO2ZTcSQ12bWcyRgI,72,2014-08-05,hit,199.26328,-7.289,122.014,0.79,4,0.654,9,0.408,1,0.493,0.0324,0.752,0.775,0.0,0.35100000000000003,0.0546,0.595
Amnesia,1JCCdiru7fhstOIF4N7WJC,68,2014-06-27,miss,237.24767000000003,-5.237,101.59299999999999,0.128,4,0.768,2,0.521,1,0.62,0.0283,0.5720000000000001,0.499,0.0,0.213,0.0311,0.10800000000000001
Only,4MRT0dDbhqFKl67WzhUbSw,68,2014-12-15,miss,312.02667,-7.245,179.196,0.066,3,1.0,8,0.63,0,0.5479999999999999,0.405,0.573,0.495,0.0,0.0969,0.5920000000000001,0.255
Hot N*gga,19gEmPjfqSZT0ulDRfjl0m,72,2014-07-25,hit,194.56113,-7.314,167.87900000000002,0.109,4,1.0,9,0.41200000000000003,1,0.415,0.0505,0.794,0.51,1.81e-06,0.0562,0.42,0.18
