name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,74,2009-01-01,hit,202.06667,-4.667,96.021,0.16,4,1.0,10,0.315,0,0.373,0.00112,0.652,0.698,0.00011499999999999999,0.0886,0.042,0.47
Day 'N' Nite (nightmare),5FEXPoPnzueFJQCPRIrC3c,73,2009-01-01,hit,221.26666,-6.25,137.996,0.546,4,0.878,11,0.87,0,0.7340000000000001,0.499,0.871,0.44,4.15e-06,0.114,0.0761,0.799
Pursuit Of Happiness (Nightmare),5iSEsR6NKjlC9SrIJkyL3k,72,2009-01-01,hit,295.29332999999997,-8.951,115.277,0.465,4,0.965,0,0.0,1,0.22899999999999998,0.484,0.63,0.605,9.290000000000001e-05,0.298,0.0414,0.266
Fireflies,3DamFFqW32WihKkTVlwTYQ,79,2009-01-01,hit,228.34666,-6.8,180.11900000000003,0.023,4,0.9329999999999999,3,0.557,1,0.5870000000000001,0.0274,0.513,0.6609999999999999,0.0,0.11800000000000001,0.0439,0.461
Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,73,2009-03-24,hit,175.49333000000001,-7.075,156.004,0.151,4,1.0,0,0.787,1,0.475,0.0438,0.634,0.8490000000000001,0.0,0.363,0.105,0.919
Down,7LP4Es66zdY7CyjepqmvAg,76,2009-01-01,hit,212.10667,-4.493,65.997,0.076,4,1.0,2,0.619,1,0.621,0.0108,0.657,0.695,0.0,0.0822,0.0321,0.6829999999999999
Replay,5vlEg2fT4cFWAqU5QptIpQ,73,2009-08-11,hit,182.30667,-6.3229999999999995,91.031,0.8079999999999999,4,1.0,9,0.369,1,0.456,0.17300000000000001,0.706,0.7509999999999999,0.0,0.168,0.0708,0.195
Bad Romance,0SiywuOBRcynK0uKGWdCnn,79,2009-11-05,hit,294.57333,-3.755,119.001,0.755,4,0.905,0,0.40700000000000003,1,0.34299999999999997,0.00314,0.696,0.9209999999999999,5.24e-05,0.0842,0.0363,0.7140000000000001
I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,70,2009-01-01,hit,289.13333,-6.375,127.96,0.8959999999999999,4,0.937,0,0.679,1,0.5720000000000001,0.0873,0.743,0.7659999999999999,0.0,0.509,0.0265,0.61
Neon Moon,3EUl8M6SzxZl03NPkB8mUd,70,2009-09-08,hit,263.50006,-6.507999999999999,102.404,0.345,4,1.0,9,0.721,1,0.73,0.5539999999999999,0.7020000000000001,0.632,0.0,0.127,0.0247,0.457
Monster,2UREu1Y8CO4jXkbvqAtP7g,74,2009-08-21,hit,178.01334,-2.336,134.99200000000002,0.9159999999999999,4,1.0,8,0.552,1,0.591,0.0431,0.64,0.9570000000000001,0.0,0.0789,0.0741,0.6920000000000001
Bad Company,6nULLS7CipGMSzgQDxDpd1,69,2009-09-22,miss,262.44,-4.196000000000001,114.025,0.6559999999999999,4,0.852,11,0.615,0,0.563,0.000595,0.557,0.8859999999999999,9.84e-05,0.0904,0.0498,0.17
Secrets,1NhPKVLsHhFUHIOZ32QnS2,76,2009-01-01,hit,224.69332999999997,-6.223,148.02100000000002,0.58,4,1.0,2,0.157,1,0.38,0.0717,0.516,0.764,0.0,0.115,0.0366,0.376
Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,78,2009-09-08,hit,276.92,-1.538,173.585,0.413,4,1.0,11,0.07400000000000001,1,0.33,0.0295,0.491,0.956,0.0,0.46,0.392,0.8109999999999999
BedRock,3iL2l5gUqyPS6vDwJFgJTR,71,2009-01-01,hit,288.13333,-6.162999999999999,148.005,0.38799999999999996,4,0.934,8,0.5329999999999999,1,0.259,0.102,0.733,0.664,0.0,0.191,0.295,0.557
Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,69,2009,miss,251.84,-5.315,149.954,0.2,4,0.9209999999999999,7,0.435,1,0.557,0.0416,0.49200000000000005,0.81,0.00379,0.11699999999999999,0.0847,0.245
I Will Not Bow,2yXyz4NLTZx9CLdXfLTp5E,71,2009-01-01,hit,216.73334,-3.708,107.984,0.645,4,1.0,8,0.48,1,0.611,0.000165,0.5329999999999999,0.955,1.36e-05,0.38,0.0653,0.55
Little Lion Man,6JnufVNLIO5F5Lk4sEVLeI,68,2009-10-02,miss,246.97332999999998,-8.273,138.51,0.591,4,0.82,5,0.605,1,0.555,0.0293,0.517,0.48100000000000004,1.7899999999999998e-05,0.0903,0.0272,0.461
She's Country,0PspNrE4MSjr1JeB4OW0jn,68,2009-04-07,miss,220.57332999999997,-2.832,172.138,0.18600000000000003,4,1.0,1,0.51,0,0.39299999999999996,0.198,0.5529999999999999,0.872,0.0,0.0659,0.0782,0.638
You Found Me,4IoYz8XqqdowINzfRrFnhi,73,2009-02-02,hit,241.85332999999997,-5.412000000000001,151.994,0.04,4,0.9670000000000001,8,0.344,0,0.455,0.0187,0.33799999999999997,0.8029999999999999,0.0,0.136,0.0413,0.4
Soundtrack 2 My Life,1cdC9TCqyLwAlsw3fVJaJS,67,2009-01-01,miss,235.62666000000002,-6.653,86.501,0.122,4,1.0,9,0.083,0,0.18100000000000002,0.465,0.46399999999999997,0.754,1.57e-05,0.37,0.128,0.444
Big Green Tractor,4KAzYqfcijCSZa2P3etHoM,67,2009-04-07,miss,204.2,-5.013999999999999,137.071,0.364,4,1.0,4,0.531,1,0.578,0.6459999999999999,0.623,0.59,0.0,0.295,0.027999999999999997,0.579
The Climb,0V8FYVlBFuXXTIvRnMbZyS,69,2009-01-01,miss,236.06667000000002,-6.611000000000001,161.07399999999998,0.036000000000000004,4,0.9059999999999999,4,0.5329999999999999,1,0.594,0.0834,0.327,0.588,0.0,0.10400000000000001,0.0336,0.32899999999999996
Rosyln,4k7x3QKrc3h3U0Viqk0uop,70,2009-10-09,hit,289.56,-13.110999999999999,159.719,0.342,3,1.0,10,0.415,0,0.5720000000000001,0.971,0.32899999999999996,0.27699999999999997,0.024,0.0971,0.0302,0.121
My Maria,09qzRI951OVkXGCc33gzcT,68,2009-09-08,miss,207.77216,-4.627,125.571,0.975,4,0.934,3,0.626,1,0.636,0.06,0.6729999999999999,0.8420000000000001,0.00025699999999999996,0.184,0.0365,0.897
Birthday Sex,4NpDZPwSXmL0cCTaJuVrCw,69,2009-01-01,miss,226.50667,-5.603,60.013999999999996,0.045,4,1.0,7,0.40299999999999997,0,0.40299999999999997,0.297,0.679,0.522,0.0,0.151,0.0427,0.445
21 Guns,64yrDBpcdwEdNY9loyEGbX,75,2009-05-15,hit,321.09332,-4.939,159.779,0.22399999999999998,4,1.0,5,0.537,1,0.542,0.0518,0.268,0.742,0.0,0.626,0.0355,0.41600000000000004
Smile,4ZC8hXXqu2hPcDLw9QTdtQ,68,2009-09-11,miss,201.62666000000002,-3.764,141.056,0.784,4,1.0,4,0.537,1,0.546,0.203,0.541,0.812,0.0,0.42,0.0336,0.607
The Cave,7IxVWmdabNVhfLBV3JD0nJ,67,2009-10-02,miss,217.98666,-9.682,141.981,0.695,4,0.794,4,0.496,1,0.555,0.0464,0.595,0.506,0.000138,0.107,0.0388,0.34600000000000003
Stuck In The Middle With You,1b7LMtXCXGc2EwOIplI35z,72,2009-01-01,hit,203.89333,-10.482000000000001,124.166,0.821,4,1.0,7,0.608,1,0.561,0.0934,0.795,0.564,0.000531,0.0631,0.0392,0.961
Telephone,7rl7ao5pb9BhvAzPdWStxi,68,2009-08-05,miss,220.62666000000002,-5.853,122.021,0.871,4,1.0,5,0.276,0,0.41700000000000004,0.00587,0.825,0.8320000000000001,0.000789,0.114,0.0403,0.713
Hero,4CbKVDZkYKdv69I4bCaKUq,71,2009-08-21,hit,186.81332,-2.543,142.018,0.917,4,0.998,1,0.371,1,0.45799999999999996,0.007909999999999999,0.5329999999999999,0.9670000000000001,0.0,0.336,0.0995,0.782
Good Life,6OtCIsQZ64Vs1EbzztvAv4,71,2009-01-01,hit,253.30667000000003,-7.803999999999999,94.988,0.5489999999999999,4,1.0,6,0.546,1,0.491,0.0771,0.634,0.69,0.0,0.132,0.052000000000000005,0.645
Home - 2019 - Remaster,7KWGfnsUU4Ri46TIvjpAPx,68,2009-07-07,miss,306.37332000000004,-5.7589999999999995,111.615,0.767,4,0.617,2,0.785,1,0.782,0.249,0.53,0.634,0.0006219999999999999,0.0979,0.0311,0.106
1901,3FM33HqRlV7J1QJoPOnd2u,65,2009-05-25,miss,193.10667,-5.647,144.084,0.816,4,1.0,0,0.217,1,0.424,0.0605,0.591,0.831,4.6700000000000003e-05,0.19,0.0415,0.705
