name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Wagon Wheel,3xdjjKMcMOFgo1eQrfbogM,77,2013-01-01,hit,298.37332000000004,-7.1739999999999995,148.096,0.7929999999999999,4,0.6679999999999999,9,0.754,1,0.735,0.455,0.537,0.66,0.0,0.135,0.0296,0.574
Play It Again,03fT3OHB9KyMtGMt2zwqCT,76,2013-01-01,hit,226.86667000000003,-3.225,143.935,0.745,4,0.815,11,0.763,1,0.662,0.0916,0.506,0.8859999999999999,0.0,0.0734,0.0655,0.595
All of Me,3U4isOIWM3VvDubwSI3y7a,85,2013-08-30,hit,269.56,-7.064,119.93,0.011000000000000001,4,0.665,8,0.442,1,0.579,0.922,0.42200000000000004,0.264,0.0,0.132,0.0322,0.331
Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,81,2013-04-19,hit,240.4,-2.81,124.053,0.396,4,0.996,10,0.141,1,0.275,0.0495,0.612,0.807,0.0177,0.10099999999999999,0.0336,0.39799999999999996
Let Her Go,0JmiBCpWc1IAc0et7Xm7FL,75,2013-02-17,hit,252.73334,-7.346,74.89699999999999,0.239,4,0.902,7,0.556,1,0.674,0.365,0.479,0.545,0.0,0.0963,0.0688,0.243
Wake Me Up,4h8VwCb1MTGoLKueQ1WgbD,83,2013-09-13,hit,247.42667000000003,-5.697,124.08,0.805,4,0.81,2,0.375,1,0.556,0.0038,0.532,0.7829999999999999,0.0012,0.161,0.0523,0.643
3005,2ZltjIqztEpZtafc8w0I9t,75,2013-12-10,hit,234.2152,-7.272,166.077,0.017,4,0.753,6,0.467,0,0.532,0.113,0.47200000000000003,0.44799999999999995,0.0,0.0914,0.326,0.636
Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,73,2013-10-08,hit,208.76,-3.445,113.946,0.609,4,0.9520000000000001,2,0.537,1,0.654,0.0801,0.635,0.675,0.0,0.0831,0.0263,0.273
Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,81,2013-11-25,hit,245.49333,-5.8020000000000005,121.07,0.779,4,0.992,3,0.282,1,0.547,0.225,0.6,0.6629999999999999,0.0,0.11900000000000001,0.0477,0.28600000000000003
Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,81,2013-09-09,hit,272.3941,-7.596,85.03,0.575,4,0.642,5,0.07400000000000001,1,0.094,0.18600000000000003,0.5479999999999999,0.532,0.000263,0.217,0.0323,0.405
"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,75,2013-01-01,hit,223.84,-6.85,136.961,0.226,4,0.9540000000000001,8,0.0,1,0.092,0.5579999999999999,0.5429999999999999,0.485,0.0,0.12,0.0305,0.371
Ribs,2MvvoeRt8NcOXWESkxWn3g,74,2013-09-27,hit,258.96942,-9.277000000000001,127.978,0.507,4,0.995,4,0.354,1,0.45899999999999996,0.534,0.511,0.47200000000000003,0.614,0.11,0.091,0.0399
Pompeii,3gbBpTdY8lnQwqxNCcf795,70,2013-01-01,hit,214.14766,-6.382999999999999,127.435,0.8590000000000001,4,1.0,9,0.406,1,0.418,0.0755,0.679,0.715,0.0,0.271,0.0407,0.5710000000000001
Out of My League,2AYEOC02WLhUiOoaig2SEH,71,2013-05-07,hit,209.38612,-3.553,169.965,0.622,4,1.0,9,0.235,0,0.344,0.0387,0.545,0.968,0.00325,0.331,0.0853,0.527
Royals,2dLLR6qlu5UJ5gk0dKz0h3,77,2013-09-27,hit,190.18526,-9.504,84.87799999999999,0.43799999999999994,4,1.0,7,0.9940000000000001,1,0.785,0.121,0.674,0.428,0.0,0.132,0.122,0.337
"Hold On, We're Going Home",2aSC2xhRxOLiiZZVjhbylH,71,2013-01-01,hit,227.88,-7.438,100.00299999999999,0.705,4,1.0,6,0.247,0,0.4,0.00415,0.7759999999999999,0.413,2.68e-05,0.0724,0.0952,0.287
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",4X5f3vT8MRuXF68pfjNte5,76,2013,hit,233.78667000000002,-6.87,95.96700000000001,0.261,4,1.0,1,0.596,1,0.301,0.024,0.852,0.693,0.0,0.11,0.27399999999999997,0.66
Break from Toronto,79MSEdtXuudhGhC5AtG07g,73,2013-07-01,hit,99.21333,-5.18,117.066,0.21600000000000003,4,1.0,9,0.281,1,0.231,0.0199,0.596,0.6779999999999999,0.004,0.418,0.0335,0.259
Cocoa Butter Kisses,0aMHIW1lqrulVCx0LLlr6a,72,2013-04-30,hit,307.18753,-7.777,125.795,0.735,4,1.0,6,0.318,0,0.324,0.0518,0.679,0.645,0.0,0.145,0.222,0.203
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,77,2013-10-04,hit,231.24,-5.794,80.003,0.08800000000000001,4,1.0,1,0.33,0,0.701,0.00882,0.613,0.622,0.0,0.37,0.0334,0.484
That's My Kind Of Night,5HGibWoxnkYSkl6mHmAlOE,71,2013-01-01,hit,190.18668,-2.909,109.995,0.596,4,0.997,7,0.0,1,0.226,0.0571,0.6609999999999999,0.7509999999999999,0.0,0.105,0.0481,0.875
Oceans (Where Feet May Fail),5Mw9bXG1dLNhbjofkVS2oR,69,2013-02-26,miss,535.9630000000001,-10.187000000000001,126.786,0.312,4,0.82,2,0.6890000000000001,1,0.7120000000000001,0.508,0.262,0.361,0.00268,0.10800000000000001,0.0333,0.055999999999999994
This Is How We Roll,2TR7A4ulH9R1PNwMyd8o8U,70,2013-01-01,hit,220.90668,-2.969,132.085,0.932,4,0.904,8,0.76,1,0.665,0.016,0.555,0.9309999999999999,0.0,0.405,0.0367,0.723
Power Trip (feat. Miguel),7FOJvA3PxiIU0DN3JjQ7jT,71,2013-06-14,hit,241.16,-7.053999999999999,99.991,0.23,4,1.0,1,0.0,1,0.192,0.322,0.667,0.61,0.00020299999999999997,0.426,0.217,0.465
New Flesh,6TEiFwaiHERpdfG6WnGed1,73,2013,hit,167.98666,-16.066,165.863,0.8759999999999999,4,1.0,9,0.218,1,0.299,0.887,0.621,0.594,0.498,0.0917,0.0384,0.698
Rap God,6or1bKJiZ06IlK0vFvY75k,77,2013-11-05,hit,363.52145,-2.66,148.14,0.10099999999999999,4,0.9390000000000001,7,0.611,1,0.614,0.397,0.708,0.843,0.0,0.799,0.314,0.625
IV. Sweatpants,00GOPLxW4PGQuUYdPJh8K1,71,2013-12-10,hit,180.67537,-9.33,80.027,0.278,4,0.966,1,0.465,0,0.42700000000000005,0.154,0.71,0.47,0.0,0.643,0.142,0.581
Still into You,1yjY7rpaAQvKwpdUliHx0d,74,2013-04-05,hit,216.01334,-3.763,136.01,0.9520000000000001,4,1.0,5,0.7290000000000001,1,0.5479999999999999,0.0098,0.602,0.9229999999999999,0.0,0.0561,0.044000000000000004,0.765
